Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Daily_Return,Pct_Change,Volatility_5m,SMA_20,SMA_50,EMA_20,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,BB_Bandwidth,Daily_Return_Outlier
2026-06-01 09:15:00+05:30,2280.10009765625,2306.39990234375,2280.10009765625,2288.0,0,0.0,0.0,TCS.NS,0.0,0.0,0.0,,,2288.0,50.0,0.0,0.0,0.0,,,,,False
2026-06-01 09:16:00+05:30,2289.800048828125,2301.0,2286.0,2297.60009765625,50487,0.0,0.0,TCS.NS,0.004195846877731668,0.4195846877731668,0.0,,,2288.9142950148807,50.0,0.765819756054043,0.1531639512108086,0.6126558048432343,,,,,True
2026-06-01 09:17:00+05:30,2298.39990234375,2301.5,2295.199951171875,2298.699951171875,36182,0.0,0.0,TCS.NS,0.0004786966699501516,0.04786966699501516,0.0,,,2289.846262267928,50.0,1.444831301148497,0.4114974211983463,1.0333338799501508,,,,,False
2026-06-01 09:18:00+05:30,2298.89990234375,2302.300048828125,2295.10009765625,2300.699951171875,21974,0.0,0.0,TCS.NS,0.0008700570072142089,0.08700570072142089,0.0,,,2290.879946925447,50.0,2.1198992490012643,0.75317778675893,1.3667214622423343,,,,,False
2026-06-01 09:19:00+05:30,2301.39990234375,2301.5,2293.699951171875,2293.89990234375,19101,0.0,0.0,TCS.NS,-0.0029556434878269533,-0.29556434878269533,0.002548851182744051,,,2291.1675617271903,50.0,2.082186204773734,1.0189794703618908,1.0632067344118432,,,,,True
2026-06-01 09:20:00+05:30,2293.89990234375,2300.39990234375,2292.800048828125,2300.0,53177,0.0,0.0,TCS.NS,0.0026592693299378745,0.26592693299378745,0.002687473090675909,,,2292.008746324601,50.0,2.515527807033777,1.3182891376962682,1.197238669337509,,,,,True
2026-06-01 09:21:00+05:30,2300.0,2303.199951171875,2296.199951171875,2302.699951171875,23832,0.0,0.0,TCS.NS,0.0011738918138586296,0.11738918138586296,0.0020724657219604115,,,2293.0269563100555,50.0,3.04175419508465,1.6629821491739447,1.3787720459107051,,,,,False
2026-06-01 09:22:00+05:30,2301.699951171875,2302.89990234375,2296.0,2296.800048828125,9835,0.0,0.0,TCS.NS,-0.0025621672249340754,-0.25621672249340754,0.002468529504731691,,,2293.3862984546336,50.0,2.948728480864702,1.9201314155120963,1.0285970653526055,,,,,True
2026-06-01 09:23:00+05:30,2296.800048828125,2301.699951171875,2296.800048828125,2298.89990234375,17093,0.0,0.0,TCS.NS,0.0009142517724589627,0.09142517724589627,0.0024732275686804995,,,2293.91140358693,50.0,3.0097510253190194,2.1380553374734808,0.8716956878455386,,,,,False
2026-06-01 09:24:00+05:30,2300.0,2301.60009765625,2297.10009765625,2300.699951171875,16000,0.0,0.0,TCS.NS,0.0007830044389012247,0.07830044389012247,0.00191711285113768,,,2294.5579319283534,50.0,3.16685519287239,2.3438153085532627,0.8230398843191273,,,,,False
2026-06-01 09:25:00+05:30,2300.800048828125,2303.300048828125,2296.0,2297.199951171875,23715,0.0,0.0,TCS.NS,-0.00152127616563702,-0.152127616563702,0.0016890843892119786,,,2294.8095528086887,50.0,2.974650706563807,2.4699823881553717,0.5046683184084353,,,,,False
2026-06-01 09:26:00+05:30,2297.60009765625,2298.300048828125,2295.5,2297.5,9337,0.0,0.0,TCS.NS,0.00013061502459632557,0.013061502459632557,0.001527045632189883,,,2295.065785874528,50.0,2.8140995117669263,2.5388058128776825,0.2752936988892438,,,,,False
2026-06-01 09:27:00+05:30,2297.5,2297.5,2295.699951171875,2296.10009765625,5785,0.0,0.0,TCS.NS,-0.0006093154923830779,-0.06093154923830779,0.0010165174801792776,,,2295.164291758502,50.0,2.5445689070911612,2.539958431720378,0.004610475370783185,,,,,False
2026-06-01 09:28:00+05:30,2295.89990234375,2302.0,2295.199951171875,2301.89990234375,20175,0.0,0.0,TCS.NS,0.0025259372156380966,0.25259372156380966,0.00152916510794513,,,2295.805778480906,50.0,2.7670627513530235,2.5853792956469075,0.181683455706116,,,,,True
2026-06-01 09:29:00+05:30,2302.5,2303.199951171875,2301.199951171875,2302.10009765625,21737,0.0,0.0,TCS.NS,8.696959945830862e-05,0.008696959945830862,0.0015012821747674582,,,2296.4052374499865,86.14332969329509,2.925817808094962,2.653466998136518,0.27235080995844374,,,,,False
2026-06-01 09:30:00+05:30,2302.300048828125,2304.800048828125,2302.10009765625,2302.89990234375,18554,0.0,0.0,TCS.NS,0.0003474239405638624,0.03474239405638624,0.0011900896814759903,,,2297.0237769636783,86.29816052739272,3.080657980806336,2.738905194670482,0.34175278613585425,,,,,False
2026-06-01 09:31:00+05:30,2302.89990234375,2305.0,2301.60009765625,2301.89990234375,27087,0.0,0.0,TCS.NS,-0.00043423511329443443,-0.04342351132944344,0.0012583364213570511,,,2297.4881698570184,85.01902828897958,3.087092213206688,2.808542598377723,0.278549614828965,,,,,False
2026-06-01 09:32:00+05:30,2302.699951171875,2304.0,2301.699951171875,2303.0,9153,0.0,0.0,TCS.NS,0.00047790855507212626,0.047790855507212626,0.0011314564065880292,,,2298.013106061112,85.27755754379136,3.144709818426236,2.8757760423874257,0.2689337760388102,,,,,False
2026-06-01 09:33:00+05:30,2303.60009765625,2303.800048828125,2300.0,2303.5,13943,0.0,0.0,TCS.NS,0.0002171081198436564,0.02171081198436564,0.0003520319863481339,,,2298.535667388625,85.4008737127476,3.1939007077758106,2.9394009754651025,0.2544997323107081,,,,,False
2026-06-01 09:34:00+05:30,2304.0,2305.800048828125,2304.0,2304.89990234375,22573,0.0,0.0,TCS.NS,0.0006077283888648033,0.06077283888648033,0.00040571874493278343,2299.4499755859374,,2299.1417850033986,85.76049667948968,3.307715970924164,3.013063974556915,0.29465199636724915,2307.3563683463803,2299.4499755859374,2291.5435828254945,0.0068767686571900855,False
2026-06-01 09:35:00+05:30,2304.800048828125,2308.699951171875,2303.300048828125,2303.39990234375,37550,0.0,0.0,TCS.NS,-0.0006507874803911573,-0.06507874803911573,0.0005584510230987658,2300.219970703125,,2299.547319988194,83.39014128735472,3.239534584833109,3.058358096612154,0.181176488220955,2306.1948232959776,2300.219970703125,2294.2451181102724,0.0051950271443180355,False
2026-06-01 09:36:00+05:30,2302.60009765625,2303.0,2300.60009765625,2301.5,7936,0.0,0.0,TCS.NS,-0.0008248252254490218,-0.08248252254490218,0.0006600664114659291,2300.4149658203123,,2299.733289513128,80.36048453534423,2.9976391855761904,3.0462143144049616,-0.04857512882877124,2306.283416345829,2300.4149658203123,2294.5465152947954,0.005102079940107016,False
2026-06-01 09:37:00+05:30,2301.5,2303.89990234375,2301.0,2301.0,11685,0.0,0.0,TCS.NS,-0.0002172496198131757,-0.02172496198131757,0.0005951542575327755,2300.5299682617188,,2299.853928607116,79.54146228986593,2.734072827917771,2.9837860171075237,-0.2497131891897526,2306.346828664232,2300.5299682617188,2294.7131078592056,0.005056974247467316,False
2026-06-01 09:38:00+05:30,2300.89990234375,2303.0,2300.0,2301.10009765625,46240,0.0,0.0,TCS.NS,4.350180627987754e-05,0.004350180627987754,0.000571245371359822,2300.5499755859373,,2299.9726113737,79.58631752052159,2.5044024424682902,2.887909302179677,-0.38350685971138665,2306.372048032147,2300.5499755859373,2294.7279031397275,0.00506146139661844,False
2026-06-01 09:39:00+05:30,2301.10009765625,2302.0,2296.199951171875,2296.199951171875,26586,0.0,0.0,TCS.NS,-0.002129479934126266,-0.2129479934126266,0.0008413840616618934,2300.6649780273438,,2299.613310402098,71.34031666292519,1.9050261822662833,2.691332678196998,-0.7863064959307149,2306.0048623745683,2300.6649780273438,2295.325093680119,0.004642035583819046,False
2026-06-01 09:40:00+05:30,2296.699951171875,2300.0,2296.699951171875,2299.699951171875,5750,0.0,0.0,TCS.NS,0.0015242575012746062,0.15242575012746062,0.0013297593949601267,2300.6499755859377,,2299.6215619039813,73.45583907995216,1.6929219763273977,2.491650537823078,-0.7987285614956803,2305.99940374206,2300.6499755859377,2295.300547429815,0.004650362473987443,False
2026-06-01 09:41:00+05:30,2299.800048828125,2300.0,2296.10009765625,2298.300048828125,3619,0.0,0.0,TCS.NS,-0.000608732605762996,-0.060873260576299604,0.001312683041393084,2300.42998046875,,2299.4957035158045,71.19227145609787,1.3957777878272282,2.272475987823908,-0.8766981999966799,2305.786326658981,2300.42998046875,2295.0736342785185,0.004656821755678792,False
