Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Daily_Return,Pct_Change,Volatility_20d,Close_Rolling_Mean_20,Close_Rolling_Std_20,Volume_Rolling_Mean_20,SMA_20,SMA_50,EMA_20,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,BB_Bandwidth,Daily_Return_Outlier,Volume_Outlier
2021-06-01,2761.623758251917,2762.800236009924,2729.724592649857,2748.02734375,1377441,0.0,0.0,TCS.NS,0.0,0.0,,,,,,,2748.02734375,50.0,0.0,0.0,0.0,,,,,False,False
2021-06-02,2746.153209094416,2753.648492779045,2714.9077173465566,2727.501708984375,2240078,0.0,0.0,TCS.NS,-0.007469225083333919,-0.7469225083333919,,,,,,,2746.0725213913693,50.0,-1.6373725738958456,-0.3274745147791691,-1.3098980591166764,,,,,False,False
2021-06-03,2749.377916098571,2749.377916098571,2721.5750418671,2737.7861328125,1281706,0.0,0.0,TCS.NS,0.003770638820957739,0.3770638820957739,,,,,,,2745.283341526715,50.0,-2.081144939531896,-0.6782085997297145,-1.4029363398021815,,,,,False,False
2021-06-04,2726.238026217694,2751.382602077848,2723.623347803802,2739.965087890625,1836060,0.0,0.0,TCS.NS,0.0007958821370339653,0.07958821370339653,,,,,,,2744.776841180421,50.0,-2.2312933116240856,-0.9888255421085888,-1.2424677695154969,,,,,False,False
2021-06-07,2741.054855558437,2780.6671955726056,2731.11916154501,2774.348388671875,2559821,0.0,0.0,TCS.NS,0.012548809812653605,1.2548809812653605,,,,,,,2747.59317903675,50.0,0.4193243316699409,-0.7071955673528829,1.1265198990228238,,,,,False,False
2021-06-08,2787.24756988465,2816.0090363656363,2777.834683752434,2789.121337890625,2574057,0.0,0.0,TCS.NS,0.0053248356547686004,0.53248356547686,,,,,,,2751.548241784738,50.0,3.6697093251286788,0.16818541114342944,3.5015239139852494,,,,,False,False
2021-06-09,2790.733236783259,2806.4213061967816,2776.962555519222,2789.2080078125,1710925,0.0,0.0,TCS.NS,3.107427443094224e-05,0.003107427443094224,,,,,,,2755.134886168334,50.0,6.181401045109396,1.370828537936623,4.810572507172774,,,,,False,False
2021-06-10,2797.706408607824,2809.9082434117213,2782.8898949173777,2803.633056640625,1874324,0.0,0.0,TCS.NS,0.005171736488537526,0.5171736488537526,,,,,,,2759.7537595466474,50.0,9.22952351235108,2.942567532819514,6.286955979531565,,,,,False,False
2021-06-11,2799.056705258424,2883.9901284053785,2798.577305019544,2853.311279296875,3452954,0.0,0.0,TCS.NS,0.01771923131616071,1.771923131616071,,,,,,,2768.6639995228597,50.0,15.47540903604613,5.449135833464838,10.026273202581294,,,,,False,False
2021-06-14,2857.843727351782,2883.7290030941417,2850.304822455383,2855.5341796875,1847360,0.0,0.0,TCS.NS,0.0007790598967432061,0.07790598967432061,,,,,,,2776.9373500147303,50.0,20.36987653977667,8.433283974727203,11.936592565049466,,,,,False,False
