Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Daily_Return,Pct_Change,Volatility_20d,Close_Rolling_Mean_20,Close_Rolling_Std_20,Volume_Rolling_Mean_20,SMA_20,SMA_50,EMA_20,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,BB_Bandwidth,Daily_Return_Outlier,Volume_Outlier
2021-06-01,121.92197831860382,122.18515807859856,120.81076166659518,121.14217376708984,67637100,0.0,0.0,AAPL,0.0,0.0,,,,,,,121.14217376708984,50.0,0.0,0.0,0.0,,,,,False,False
2021-06-02,121.14217571934483,122.07793673418138,120.91798692698966,121.90248107910156,59278900,0.0,0.0,AAPL,0.006276157083605849,0.6276157083605849,,,,,,,121.21458398728143,50.0,0.060651295545099515,0.012130259109019903,0.04852103643607961,,,,,False,False
2021-06-03,121.5320769508381,121.69778300232346,120.02120840977952,120.42086029052734,76229200,0.0,0.0,AAPL,-0.012154147934140935,-1.2154147934140935,,,,,,,121.13899125425723,50.0,-0.010713037752225318,0.00756159973677086,-0.01827463748899618,,,,,False,False
2021-06-04,120.9374616364624,122.97469686847109,120.7230150397492,122.71150970458984,75169300,0.0,0.0,AAPL,0.01902203163584848,1.902203163584848,,,,,,,121.28875491619368,50.0,0.11622668899420319,0.029294617588257327,0.08693207140594586,,,,,False,False
2021-06-07,122.98444744531308,123.1306617200527,121.67828344764422,122.72126770019533,71057600,0.0,0.0,AAPL,7.951980730225294e-05,0.007951980730225294,,,,,,,121.42518470514622,50.0,0.21513478579262824,0.0664626512291315,0.14867213456349673,,,,,False,False
2021-06-08,123.40357440763638,125.21662075817991,123.02342180669262,123.5400390625,74403800,0.0,0.0,AAPL,0.006671796809538444,0.6671796809538444,,,,,,,121.62659940584658,50.0,0.3554903003821579,0.12426818105973679,0.2312221193224211,,,,,False,False
2021-06-09,123.99820136642404,124.52456834027448,123.32562010482052,123.92021942138672,56877900,0.0,0.0,AAPL,0.0030773857752657285,0.30773857752657285,,,,,,,121.8450394073266,50.0,0.49173205354288996,0.19776095555636744,0.29397109798652254,,,,,False,False
2021-06-10,123.81299241371468,124.95345787476268,122.7602659341765,122.92597198486328,71186400,0.0,0.0,AAPL,-0.00802328660460594,-0.8023286604605939,,,,,,,121.94798536709199,50.0,0.5135571979371321,0.26092020403252036,0.2526369939046117,,,,,False,False
2021-06-11,123.3353397745628,124.22236745136004,122.91619621766982,124.13463592529295,53522400,0.0,0.0,AAPL,0.009832453800556529,0.9832453800556529,,,,,,,122.15623780120636,50.0,0.6212218026342669,0.3329805237528697,0.28824127888139717,,,,,False,False
2021-06-14,124.592772046137,127.24409063710856,123.86170821216966,127.18560791015624,96906500,0.0,0.0,AAPL,0.024577926717402443,2.4577926717402443,,,,,,,122.63522543063016,50.0,0.9418773429685956,0.4547598875960149,0.4871174553725807,,,,,False,False
2021-06-15,126.6592574474217,127.30259723643738,126.12314095657528,126.36682891845705,62746300,0.0,0.0,AAPL,-0.0064376701511508205,-0.643767015115082,,,,,,,122.99061623899463,50.0,1.1170538456822356,0.587218679213259,0.5298351664689767,,,,,False,False
2021-06-16,127.07841452715692,127.58528973592168,125.21664949570912,126.8639678955078,91815000,0.0,0.0,AAPL,0.003934093949382378,0.3934093949382378,,,,,,,123.35950687294826,50.0,1.281228245172116,0.7260205924050305,0.5552076527670855,,,,,False,False
2021-06-17,126.52280804022224,129.20337594415264,126.37658632134162,128.46255493164062,96721700,0.0,0.0,AAPL,0.012600796448756224,1.2600796448756224,,,,,,,123.84551144996658,50.0,1.5227766323252325,0.8853718003890709,0.6374048319361616,,,,,False,False
2021-06-18,127.40982566701064,128.18961527761795,126.95169109033546,127.1661376953125,108953300,0.0,0.0,AAPL,-0.010091790849232285,-1.0091790849232285,,,,,,,124.16176156857095,50.0,1.5912524651475195,1.0265479333407606,0.564704531806759,,,,,False,False
2021-06-21,127.01019740258512,129.06692486047993,125.94772121838588,128.95970153808594,79663300,0.0,0.0,AAPL,0.014104099371727186,1.4104099371727186,,,,,,,124.61870823233428,80.1431459169565,1.7698440086323899,1.1752071483990865,0.5946368602333034,,,,,False,False
2021-06-22,128.7939773736595,130.69474066397615,128.29684436989922,130.59725952148438,74783600,0.0,0.0,AAPL,0.012698214743578795,1.2698214743578795,,,,,,,125.1880940693962,82.21052246165802,2.020228401677869,1.344211399054843,0.6760170026230261,,,,,False,False
