Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Daily_Return,Pct_Change,Volatility_20d,Close_Rolling_Mean_20,Close_Rolling_Std_20,Volume_Rolling_Mean_20,SMA_20,SMA_50,EMA_20,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,BB_Bandwidth,Daily_Return_Outlier,Volume_Outlier
2021-06-01,982.1320420491826,998.4555855632798,973.290112651038,983.447021484375,28013832,0.0,0.0,RELIANCE.NS,0.0,0.0,,,,,,,983.447021484375,50.0,0.0,0.0,0.0,,,,,False,False
2021-06-02,978.0511883191928,1001.8563467317178,978.0511883191928,998.1155395507812,24630162,0.0,0.0,RELIANCE.NS,0.0149154125702331,1.49154125702331,,,,,,,984.8440232049851,50.0,1.1701381933314678,0.23402763866629359,0.9361105546651742,,,,,False,False
2021-06-03,1007.0707759680464,1020.220331233519,995.7804103170116,1001.9243774414062,23974257,0.0,0.0,RELIANCE.NS,0.003816029046436187,0.3816029046436187,,,,,,,986.4707236084538,50.0,2.37741714299068,0.662705539531171,1.7147116034595091,,,,,False,False
2021-06-04,1004.2595618006808,1005.007723278059,990.4072405064372,993.2412109375,14468646,0.0,0.0,RELIANCE.NS,-0.008666488908155245,-0.8666488908155245,,,,,,,987.1155319255058,50.0,2.603523640070307,1.050869159638998,1.552654480431309,,,,,False,False
2021-06-07,998.4556731308024,1016.5928919877746,990.7473191357552,1009.9727783203124,16336573,0.0,0.0,RELIANCE.NS,0.016845422037029545,1.6845422037029545,,,,,,,989.2924125345351,50.0,4.0857147479201785,1.6578382772952343,2.4278764706249443,,,,,False,False
2021-06-08,1009.6100858849402,1009.8594330639162,996.7099374722952,1004.1688842773438,9674735,0.0,0.0,RELIANCE.NS,-0.005746584628370965,-0.5746584628370965,,,,,,,990.7092193671836,50.0,4.737426036991337,2.273755829234455,2.4636702077568824,,,,,False,False
2021-06-09,1006.1639031267836,1007.0707400246994,978.4819302316135,986.2129516601562,11409161,0.0,0.0,RELIANCE.NS,-0.0178813871833019,-1.78813871833019,,,,,,,990.2810033950857,50.0,3.7616561995705524,2.5713359033016747,1.1903202962688777,,,,,False,False
2021-06-10,994.556163411871,1011.1517839840508,987.3692913998711,989.8405151367188,14155653,0.0,0.0,RELIANCE.NS,0.0036782760462190645,0.36782760462190645,,,,,,,990.239052132384,50.0,3.2436745678177203,2.705803636204884,0.5378709316128365,,,,,False,False
2021-06-11,993.2457554895082,1013.7668141971928,991.9716855769274,1007.0098266601562,13762778,3.5,0.0,RELIANCE.NS,0.017345533205484154,1.7345533205484154,,,,,,,991.8362687540765,50.0,4.170515239193605,2.9987459568026282,1.171769282390977,,,,,False,False
2021-06-14,1007.851579256908,1027.530819009634,998.7740423359074,1021.4564208984376,20332436,0.0,0.0,RELIANCE.NS,0.014346031047377972,1.4346031047377972,,,,,,,994.657235624968,50.0,6.00158008917515,3.5993127832771323,2.4022673058980173,,,,,False,False
2021-06-15,1028.7822714120728,1035.1068867541692,1019.363468899092,1023.777099609375,15174215,0.0,0.0,RELIANCE.NS,0.0022719311988819157,0.22719311988819157,,,,,,,997.4305560044354,50.0,7.552906349273371,4.3900314964763805,3.1628748527969908,,,,,False,False
