Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2021-06-01,241.1045951554449,241.1621746137941,237.0067008356278,237.428955078125,23213300,0.0,0.0,MSFT
2021-06-02,238.1295578675878,239.22361157042198,235.9318441224372,237.3330078125,19406700,0.0,0.0,MSFT
2021-06-03,235.33682647405521,236.41168209445024,233.20629862376543,235.8070831298828,25307700,0.0,0.0,MSFT
2021-06-04,237.77447761017086,241.50769763472985,237.53455340642336,240.68235778808594,25281100,0.0,0.0,MSFT
2021-06-07,239.90498716685534,243.84934135732763,239.74184047817525,243.58062744140625,23079200,0.0,0.0,MSFT
2021-06-08,244.87622075345962,245.69196883019157,242.3330156367018,242.39060974121094,22455000,0.0,0.0,MSFT
2021-06-09,243.58062603040793,245.23130558654012,243.00481677554484,243.36949157714844,17937600,0.0,0.0,MSFT
2021-06-10,244.0412580022731,247.08349466686664,243.44625075720447,246.8723602294922,24563600,0.0,0.0,MSFT
2021-06-11,247.592131538484,248.07197986770322,246.2677454638202,247.49618530273438,18999700,0.0,0.0,MSFT
2021-06-14,247.50577203830522,249.47316783765612,246.4500998151924,249.41558837890625,19150500,0.0,0.0,MSFT
2021-06-15,249.30041102216592,249.51154547597605,247.29464835477967,247.94723510742188,18038900,0.0,0.0,MSFT
2021-06-16,248.94535195627006,250.07778718714908,244.16606584099102,247.00677490234375,27220000,0.0,0.0,MSFT
2021-06-17,245.74953511426614,251.20060521072745,245.69195565665422,250.38485717773438,27565500,0.0,0.0,MSFT
2021-06-18,249.1660721590066,251.72844608322075,248.3215343320705,248.97412109375,37202200,0.0,0.0,MSFT
2021-06-21,249.34840535412337,252.89926559620372,247.52498746898814,252.04515075683594,26696100,0.0,0.0,MSFT
2021-06-22,252.13155021525452,255.077826487449,251.82444020322416,254.80911254882812,24694100,0.0,0.0,MSFT
2021-06-23,255.2696875528627,256.07582917695146,253.77256320989562,254.57870483398438,19518700,0.0,0.0,MSFT
2021-06-24,255.43287498640925,257.054764738449,254.77068192610335,255.94151306152344,21446900,0.0,0.0,MSFT
