Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2021-07-16,2806.4318691544436,2812.415165876921,2788.0891771991855,2790.534912109375,1256526,0.0,0.0,TCS.NS
2021-07-19,2777.607967788096,2794.9025506143835,2774.1141212877337,2781.6259765625,1597058,0.0,0.0,TCS.NS
2021-07-20,2781.625724283251,2808.1788699787835,2756.7755727052318,2800.14306640625,1811945,0.0,0.0,TCS.NS
2021-07-22,2786.342114911224,2816.8695509188374,2786.342114911224,2809.35791015625,2859334,0.0,0.0,TCS.NS
2021-07-23,2821.2810511135626,2831.3695755402578,2800.8856368537395,2806.30126953125,1776193,0.0,0.0,TCS.NS
2021-07-26,2795.077194186681,2816.2586385488767,2787.08510563354,2792.937255859375,1259611,0.0,0.0,TCS.NS
2021-07-27,2795.076642416108,2803.8112569236587,2761.142579755305,2780.18408203125,1121367,0.0,0.0,TCS.NS
2021-07-28,2784.5950645543444,2798.963462561045,2736.030523298907,2793.155029296875,1660654,0.0,0.0,TCS.NS
2021-07-29,2795.2948195289887,2817.306003956182,2786.6039213287513,2791.407958984375,1731997,0.0,0.0,TCS.NS
2021-07-30,2811.6729857502096,2815.6035630835045,2762.1914697311636,2766.64599609375,2999943,0.0,0.0,TCS.NS
2021-08-02,2777.6079147247424,2816.826255643097,2766.25291381549,2812.022216796875,2608669,0.0,0.0,TCS.NS
2021-08-03,2820.406509277255,2873.6876480403125,2811.6281806512416,2869.23291015625,3804735,0.0,0.0,TCS.NS
2021-08-04,2882.423149896209,2886.9651073617065,2848.532798696424,2859.66943359375,2929598,0.0,0.0,TCS.NS
2021-08-05,2860.5868578823424,2895.5253233221265,2849.66858743241,2868.404296875,2534521,0.0,0.0,TCS.NS
2021-08-06,2858.446469339697,2903.3860207844823,2851.851792377056,2890.98291015625,2292362,0.0,0.0,TCS.NS
2021-08-09,2903.299087891112,2914.74152078443,2891.158056277034,2902.2509765625,1510489,0.0,0.0,TCS.NS
2021-08-10,2896.0490283082218,2926.0085870941607,2896.0490283082218,2912.033203125,2040777,0.0,0.0,TCS.NS
