Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2021-06-01,121.92197831860382,122.18515807859856,120.81076166659518,121.14217376708984,67637100,0.0,0.0,AAPL
2021-06-02,121.14217571934485,122.07793673418138,120.91798692698966,121.90248107910156,59278900,0.0,0.0,AAPL
2021-06-03,121.5320769508381,121.69778300232346,120.02120840977952,120.42086029052734,76229200,0.0,0.0,AAPL
2021-06-04,120.93746163646239,122.97469686847107,120.72301503974921,122.71150970458984,75169300,0.0,0.0,AAPL
2021-06-07,122.98444744531308,123.1306617200527,121.67828344764422,122.72126770019531,71057600,0.0,0.0,AAPL
2021-06-08,123.40357440763638,125.21662075817993,123.02342180669262,123.5400390625,74403800,0.0,0.0,AAPL
2021-06-09,123.99820136642403,124.52456834027448,123.32562010482052,123.92021942138672,56877900,0.0,0.0,AAPL
2021-06-10,123.81299241371467,124.95345787476269,122.7602659341765,122.92597198486328,71186400,0.0,0.0,AAPL
2021-06-11,123.33533977456281,124.22236745136004,122.91619621766982,124.13463592529297,53522400,0.0,0.0,AAPL
2021-06-14,124.592772046137,127.24409063710856,123.86170821216966,127.18560791015625,96906500,0.0,0.0,AAPL
2021-06-15,126.6592574474217,127.30259723643738,126.12314095657528,126.36682891845703,62746300,0.0,0.0,AAPL
2021-06-16,127.07841452715692,127.58528973592168,125.21664949570912,126.86396789550781,91815000,0.0,0.0,AAPL
2021-06-17,126.52280804022224,129.20337594415264,126.37658632134162,128.46255493164062,96721700,0.0,0.0,AAPL
2021-06-18,127.40982566701065,128.18961527761795,126.95169109033546,127.1661376953125,108953300,0.0,0.0,AAPL
2021-06-21,127.01019740258512,129.06692486047993,125.94772121838587,128.95970153808594,79663300,0.0,0.0,AAPL
2021-06-22,128.7939773736595,130.69474066397615,128.29684436989922,130.59725952148438,74783600,0.0,0.0,AAPL
2021-06-23,130.39255006678223,130.9286665216875,129.8661757752273,130.32431030273438,60214200,0.0,0.0,AAPL
2021-06-24,131.0553765632134,131.24058178501798,129.57374966230876,130.04164123535156,68711000,0.0,0.0,AAPL
2021-06-25,130.09040620403312,130.50954241745376,129.4568084909208,129.74923706054688,70783700,0.0,0.0,AAPL
2021-06-28,130.04166969629122,131.8352098315601,129.98318695524438,131.3770751953125,62111300,0.0,0.0,AAPL
2021-06-29,131.3966153736016,133.04394916994167,130.95797980543495,132.8879852294922,64556100,0.0,0.0,AAPL
2021-06-30,132.73193673192986,133.94063419010044,132.43950824826416,133.5019989013672,63261400,0.0,0.0,AAPL
2021-07-01,133.15114759070119,133.8627124846623,132.33234449341114,133.80422973632812,52485800,0.0,0.0,AAPL
2021-07-02,134.41828334809892,136.46526832234767,134.27207651002422,136.42628479003906,78852600,0.0,0.0,AAPL
2021-07-06,136.53348691022637,139.53570925876045,136.53348691022637,138.4342498779297,108181800,0.0,0.0,AAPL
2021-07-07,139.91589835234652,141.2318195282519,139.0581266890823,140.91990661621094,104911600,0.0,0.0,AAPL
2021-07-08,138.00539740279086,140.422778328839,137.11836946520646,139.6234893798828,105575500,0.0,0.0,AAPL
2021-07-09,139.1458282969305,141.97260274724476,139.04834716131978,141.4462432861328,99890800,0.0,0.0,AAPL
2021-07-12,142.51848639937432,142.62570970674338,140.364278087154,140.85165405273438,76299700,0.0,0.0,AAPL
2021-07-13,140.3934939298509,143.7369001800956,140.00359917768813,141.9628448486328,100827100,0.0,0.0,AAPL
2021-07-14,144.3607540301203,145.79364043052715,143.95134516697595,145.3842315673828,127050800,0.0,0.0,AAPL
2021-07-15,145.47199168239987,146.21279783696795,143.3762659892824,144.73117065429688,106820300,0.0,0.0,AAPL
2021-07-16,144.71169838540143,145.9788641734468,142.196836268165,142.69395446777344,93251400,0.0,0.0,AAPL
2021-07-19,140.1205738932986,140.43250161447835,138.09308832622733,138.8533935546875,121434600,0.0,0.0,AAPL
2021-07-20,139.83792120496685,143.38601770583355,139.35054523026795,142.45999145507812,96350000,0.0,0.0,AAPL
2021-07-21,141.8556195804996,142.4404765741107,140.97834896361408,141.72889709472656,74993500,0.0,0.0,AAPL
2021-07-22,142.2553100922622,144.4582442706814,142.12858757198936,143.09359741210938,77338200,0.0,0.0,AAPL
2021-07-23,143.82464898024415,144.9651069434816,143.2105505102186,144.80914306640625,71447400,0.0,0.0,AAPL
2021-07-26,144.5264945756414,146.04710543551434,143.9708787526298,145.2283172607422,72434100,0.0,0.0,AAPL
2021-07-27,145.35500444699645,145.4427434254304,141.87514775749966,143.06434631347656,104818600,0.0,0.0,AAPL
2021-07-28,141.15381301329907,143.25928057886588,138.94112214929507,141.31951904296875,118931200,0.0,0.0,AAPL
2021-07-29,141.0368336570977,142.8498725143642,140.92961036922324,141.9628448486328,56699500,0.0,0.0,AAPL
2021-07-30,140.73466343435456,142.63542638578699,140.4714762953773,142.1772918701172,70440600,0.0,0.0,AAPL
2021-08-02,142.6646895204393,143.2397895751834,141.582714310116,141.8459014892578,62880000,0.0,0.0,AAPL
2021-08-03,142.12858155366985,144.30227426975748,141.51448305654833,143.6394500732422,64786600,0.0,0.0,AAPL
2021-08-04,143.55173491626834,144.05859526042843,142.58672505684436,143.23980712890625,56368300,0.0,0.0,AAPL
2021-08-05,143.26903344221475,144.107320690727,142.47948676454712,143.34701538085938,46397700,0.0,0.0,AAPL
2021-08-06,142.86867690985883,143.61059289976055,142.16580285802874,142.66366577148438,54126800,0.22,0.0,AAPL
2021-08-09,142.72229793640432,143.21040430068464,142.05848043097865,142.6149139404297,48908700,0.0,0.0,AAPL
2021-08-10,142.95653516321173,144.19632898598317,141.84365370926938,142.1365203857422,69023100,0.0,0.0,AAPL
2021-08-11,142.57580253562702,143.22986295766566,142.0681679932176,142.39031982421875,48493500,0.0,0.0,AAPL
2021-08-12,142.7124810649403,145.50444888855472,142.37080079552103,145.34825134277344,72282600,0.0,0.0,AAPL
2021-08-13,145.42634081402107,145.88516176552068,144.74299521470792,145.55325317382812,59375000,0.0,0.0,AAPL
2021-08-16,145.0065628373872,147.59353426907154,142.9858112009547,147.5251922607422,103296000,0.0,0.0,AAPL
2021-08-17,146.6564125547287,148.07191782459617,145.54353080304682,146.61737060546875,92229700,0.0,0.0,AAPL
2021-08-18,146.2366215497856,147.13473517673972,142.67343732669485,142.87844848632812,86326000,0.0,0.0,AAPL
2021-08-19,141.5800998127829,144.47945217305653,141.06270837166667,143.2103729248047,86960300,0.0,0.0,AAPL
2021-08-20,143.9327425154178,144.9675251601663,143.28843882859866,144.66490173339844,60549600,0.0,0.0,AAPL
2021-08-23,144.78206681885666,146.61735100093347,144.37205937525184,146.14877319335938,60131800,0.0,0.0,AAPL
2021-08-24,145.89489777853456,147.2713604372929,145.60203116452846,146.06085205078125,48606400,0.0,0.0,AAPL
2021-08-25,146.24637657624294,146.74425443123712,144.28419502392072,144.83087158203125,58991300,0.0,0.0,AAPL
2021-08-26,144.82110951404735,145.57278230599707,144.00107981111,144.03036499023438,48597200,0.0,0.0,AAPL
2021-08-27,143.97180225819312,145.2115961914639,143.33727014912955,145.06517028808594,55802400,0.0,0.0,AAPL
2021-08-30,145.45567018692415,149.8388699060594,145.07494788763688,149.4776611328125,90956700,0.0,0.0,AAPL
2021-08-31,149.0285807911714,149.16524992421503,147.6911597437249,148.21832275390625,86453100,0.0,0.0,AAPL
2021-09-01,149.1945515081308,151.2934023311897,148.71620204197066,148.8821563720703,80313700,0.0,0.0,AAPL
