Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2026-06-01 09:15:00+05:30,2280.10009765625,2306.39990234375,2280.10009765625,2288.0,0,0.0,0.0,TCS.NS
2026-06-01 09:16:00+05:30,2289.800048828125,2301.0,2286.0,2297.60009765625,50487,0.0,0.0,TCS.NS
2026-06-01 09:17:00+05:30,2298.39990234375,2301.5,2295.199951171875,2298.699951171875,36182,0.0,0.0,TCS.NS
2026-06-01 09:18:00+05:30,2298.89990234375,2302.300048828125,2295.10009765625,2300.699951171875,21974,0.0,0.0,TCS.NS
2026-06-01 09:19:00+05:30,2301.39990234375,2301.5,2293.699951171875,2293.89990234375,19101,0.0,0.0,TCS.NS
2026-06-01 09:20:00+05:30,2293.89990234375,2300.39990234375,2292.800048828125,2300.0,53177,0.0,0.0,TCS.NS
2026-06-01 09:21:00+05:30,2300.0,2303.199951171875,2296.199951171875,2302.699951171875,23832,0.0,0.0,TCS.NS
2026-06-01 09:22:00+05:30,2301.699951171875,2302.89990234375,2296.0,2296.800048828125,9835,0.0,0.0,TCS.NS
2026-06-01 09:23:00+05:30,2296.800048828125,2301.699951171875,2296.800048828125,2298.89990234375,17093,0.0,0.0,TCS.NS
2026-06-01 09:24:00+05:30,2300.0,2301.60009765625,2297.10009765625,2300.699951171875,16000,0.0,0.0,TCS.NS
2026-06-01 09:25:00+05:30,2300.800048828125,2303.300048828125,2296.0,2297.199951171875,23715,0.0,0.0,TCS.NS
2026-06-01 09:26:00+05:30,2297.60009765625,2298.300048828125,2295.5,2297.5,9337,0.0,0.0,TCS.NS
2026-06-01 09:27:00+05:30,2297.5,2297.5,2295.699951171875,2296.10009765625,5785,0.0,0.0,TCS.NS
2026-06-01 09:28:00+05:30,2295.89990234375,2302.0,2295.199951171875,2301.89990234375,20175,0.0,0.0,TCS.NS
2026-06-01 09:29:00+05:30,2302.5,2303.199951171875,2301.199951171875,2302.10009765625,21737,0.0,0.0,TCS.NS
2026-06-01 09:30:00+05:30,2302.300048828125,2304.800048828125,2302.10009765625,2302.89990234375,18554,0.0,0.0,TCS.NS
2026-06-01 09:31:00+05:30,2302.89990234375,2305.0,2301.60009765625,2301.89990234375,27087,0.0,0.0,TCS.NS
2026-06-01 09:32:00+05:30,2302.699951171875,2304.0,2301.699951171875,2303.0,9153,0.0,0.0,TCS.NS
2026-06-01 09:33:00+05:30,2303.60009765625,2303.800048828125,2300.0,2303.5,13943,0.0,0.0,TCS.NS
2026-06-01 09:34:00+05:30,2304.0,2305.800048828125,2304.0,2304.89990234375,22573,0.0,0.0,TCS.NS
2026-06-01 09:35:00+05:30,2304.800048828125,2308.699951171875,2303.300048828125,2303.39990234375,37550,0.0,0.0,TCS.NS
2026-06-01 09:36:00+05:30,2302.60009765625,2303.0,2300.60009765625,2301.5,7936,0.0,0.0,TCS.NS
2026-06-01 09:37:00+05:30,2301.5,2303.89990234375,2301.0,2301.0,11685,0.0,0.0,TCS.NS
2026-06-01 09:38:00+05:30,2300.89990234375,2303.0,2300.0,2301.10009765625,46240,0.0,0.0,TCS.NS
2026-06-01 09:39:00+05:30,2301.10009765625,2302.0,2296.199951171875,2296.199951171875,26586,0.0,0.0,TCS.NS
2026-06-01 09:40:00+05:30,2296.699951171875,2300.0,2296.699951171875,2299.699951171875,5750,0.0,0.0,TCS.NS
2026-06-01 09:41:00+05:30,2299.800048828125,2300.0,2296.10009765625,2298.300048828125,3619,0.0,0.0,TCS.NS
2026-06-01 09:42:00+05:30,2298.89990234375,2300.0,2298.199951171875,2299.300048828125,2911,0.0,0.0,TCS.NS
2026-06-01 09:43:00+05:30,2298.800048828125,2300.0,2298.300048828125,2299.10009765625,1709,0.0,0.0,TCS.NS
2026-06-01 09:44:00+05:30,2299.300048828125,2299.89990234375,2298.699951171875,2299.89990234375,6801,0.0,0.0,TCS.NS
2026-06-01 09:45:00+05:30,2300.0,2301.0,2299.89990234375,2301.0,22714,0.0,0.0,TCS.NS
2026-06-01 09:46:00+05:30,2301.0,2303.199951171875,2300.5,2302.300048828125,14647,0.0,0.0,TCS.NS
2026-06-01 09:47:00+05:30,2302.699951171875,2304.39990234375,2300.89990234375,2303.5,13415,0.0,0.0,TCS.NS
2026-06-01 09:48:00+05:30,2303.89990234375,2304.0,2301.0,2302.5,17737,0.0,0.0,TCS.NS
2026-06-01 09:49:00+05:30,2302.5,2303.0,2300.5,2303.0,10668,0.0,0.0,TCS.NS
2026-06-01 09:50:00+05:30,2303.0,2303.300048828125,2302.5,2302.800048828125,14733,0.0,0.0,TCS.NS
2026-06-01 09:51:00+05:30,2303.5,2306.0,2303.5,2306.0,41447,0.0,0.0,TCS.NS
2026-06-01 09:52:00+05:30,2305.0,2307.800048828125,2304.699951171875,2306.0,26492,0.0,0.0,TCS.NS
2026-06-01 09:53:00+05:30,2306.5,2308.0,2305.199951171875,2306.10009765625,20113,0.0,0.0,TCS.NS
2026-06-01 09:54:00+05:30,2305.699951171875,2306.0,2304.10009765625,2305.199951171875,13408,0.0,0.0,TCS.NS
2026-06-01 09:55:00+05:30,2305.5,2307.800048828125,2304.699951171875,2304.699951171875,22725,0.0,0.0,TCS.NS
2026-06-01 09:56:00+05:30,2304.800048828125,2305.10009765625,2303.89990234375,2304.300048828125,8654,0.0,0.0,TCS.NS
2026-06-01 09:57:00+05:30,2304.5,2304.5,2302.5,2303.10009765625,5231,0.0,0.0,TCS.NS
2026-06-01 09:58:00+05:30,2303.300048828125,2303.5,2301.39990234375,2301.60009765625,6258,0.0,0.0,TCS.NS
2026-06-01 09:59:00+05:30,2301.300048828125,2301.300048828125,2300.0,2300.199951171875,18352,0.0,0.0,TCS.NS
2026-06-01 10:00:00+05:30,2301.10009765625,2301.89990234375,2300.60009765625,2301.89990234375,15031,0.0,0.0,TCS.NS
2026-06-01 10:01:00+05:30,2301.89990234375,2303.39990234375,2301.5,2303.39990234375,9361,0.0,0.0,TCS.NS
2026-06-01 10:02:00+05:30,2301.699951171875,2302.800048828125,2300.60009765625,2302.39990234375,14005,0.0,0.0,TCS.NS
2026-06-01 10:03:00+05:30,2302.699951171875,2303.0,2300.5,2302.0,16961,0.0,0.0,TCS.NS
2026-06-01 10:04:00+05:30,2302.10009765625,2302.199951171875,2301.0,2301.0,4606,0.0,0.0,TCS.NS
2026-06-01 10:05:00+05:30,2301.39990234375,2303.89990234375,2301.199951171875,2303.89990234375,7680,0.0,0.0,TCS.NS
2026-06-01 10:06:00+05:30,2304.0,2306.0,2303.60009765625,2305.89990234375,25462,0.0,0.0,TCS.NS
2026-06-01 10:07:00+05:30,2306.0,2307.800048828125,2305.39990234375,2306.0,33184,0.0,0.0,TCS.NS
2026-06-01 10:08:00+05:30,2305.800048828125,2306.5,2304.5,2304.5,8421,0.0,0.0,TCS.NS
2026-06-01 10:09:00+05:30,2304.89990234375,2304.89990234375,2302.800048828125,2304.0,11797,0.0,0.0,TCS.NS
2026-06-01 10:10:00+05:30,2303.89990234375,2304.800048828125,2303.199951171875,2304.800048828125,7216,0.0,0.0,TCS.NS
2026-06-01 10:11:00+05:30,2304.800048828125,2306.89990234375,2303.39990234375,2303.39990234375,15431,0.0,0.0,TCS.NS
2026-06-01 10:12:00+05:30,2303.800048828125,2303.800048828125,2303.300048828125,2303.699951171875,6695,0.0,0.0,TCS.NS
2026-06-01 10:13:00+05:30,2303.699951171875,2303.800048828125,2303.199951171875,2303.39990234375,6141,0.0,0.0,TCS.NS
2026-06-01 10:14:00+05:30,2303.199951171875,2307.0,2303.0,2307.0,19905,0.0,0.0,TCS.NS
2026-06-01 10:15:00+05:30,2307.89990234375,2307.89990234375,2305.699951171875,2306.5,26393,0.0,0.0,TCS.NS
2026-06-01 10:16:00+05:30,2306.39990234375,2306.5,2303.800048828125,2306.300048828125,12212,0.0,0.0,TCS.NS
2026-06-01 10:17:00+05:30,2306.300048828125,2308.5,2305.5,2307.5,30744,0.0,0.0,TCS.NS
2026-06-01 10:18:00+05:30,2307.60009765625,2309.5,2307.0,2308.89990234375,22205,0.0,0.0,TCS.NS
2026-06-01 10:19:00+05:30,2309.10009765625,2312.89990234375,2308.89990234375,2311.10009765625,49247,0.0,0.0,TCS.NS
2026-06-01 10:20:00+05:30,2311.199951171875,2316.800048828125,2311.10009765625,2316.0,27008,0.0,0.0,TCS.NS
2026-06-01 10:21:00+05:30,2316.300048828125,2325.39990234375,2316.10009765625,2325.0,60877,0.0,0.0,TCS.NS
2026-06-01 10:22:00+05:30,2325.39990234375,2327.800048828125,2323.0,2323.5,35643,0.0,0.0,TCS.NS
2026-06-01 10:23:00+05:30,2322.39990234375,2323.89990234375,2321.10009765625,2323.89990234375,14321,0.0,0.0,TCS.NS
2026-06-01 10:24:00+05:30,2324.0,2326.699951171875,2323.10009765625,2325.39990234375,23187,0.0,0.0,TCS.NS
2026-06-01 10:25:00+05:30,2325.300048828125,2329.0,2324.89990234375,2328.39990234375,17630,0.0,0.0,TCS.NS
2026-06-01 10:26:00+05:30,2328.300048828125,2328.300048828125,2322.5,2322.5,23200,0.0,0.0,TCS.NS
2026-06-01 10:27:00+05:30,2322.5,2323.0,2321.199951171875,2321.199951171875,7950,0.0,0.0,TCS.NS
2026-06-01 10:28:00+05:30,2322.0,2322.0,2319.10009765625,2319.5,8633,0.0,0.0,TCS.NS
2026-06-01 10:29:00+05:30,2320.5,2323.5,2320.0,2322.199951171875,15256,0.0,0.0,TCS.NS
